Year,Country,Region,SubRegion,SurfAreaSqKm,PopTotal,PopDens,PopGrowth%,GDP,GDPGrowth%,AdolFertRate,AgriValAdd%GDP,Exports%GDP,FertRate,FDINetBoP,GNI/CapAtlas,GNIAtlas,Imports%GDP,IndValAdd%GDP,InflConsPric%,LifeExpBirth,MerchTrade%GDP,MobileSubs/100,MortRateU5,NetMigr,UrbanPopGrowth%,LifeGroup,Period,Strata
2005.0,France,Europe,Western Europe,549087.0,63188395.0,115.40057930042,0.749918325024531,2196945232435.8,1.66321998030079,10.938,1.68010170422531,27.0330510418171,1.94,85137061931.2536,35920.0,2269679864844.39,26.947655734595,19.6096052732169,1.93634141901367,80.1634146341463,44.0407883507982,79.47105672,4.6,155943.0,1.07066966413981,High,2000-2007,Europe_High_
2020.0,Chile,Americas,Latin America and the Caribbean,756700.0,19300315.0,25.9576117773008,1.36064363430941,254096103516.324,-6.14524685679062,24.08,4.04198954563865,31.3037695905494,1.537,11447397288.618,13010.0,251074956140.347,26.8296574423063,29.8891896734989,9.6374136550188,79.377,52.4329173711398,129.8851806,6.9,98439.0,1.45643812253223,High,2015+,Americas_High_
2004.0,Panama,Americas,Latin America and the Caribbean,75420.0,3243311.0,43.6280737153619,1.92079922199436,15013381700.0,7.52207965784608,92.801,6.43837557263997,57.76765137464,2.691,1277900000.0,4500.0,14578813573.822,65.884909860115,19.1095521137653,1.96500459793643,75.544,30.2263679874335,38.84758508,23.5,3596.0,2.38890297943089,High,2000-2007,Americas_High_
2006.0,Haiti,Americas,Latin America and the Caribbean,27750.0,9266288.0,336.222351233672,1.68016163386105,7638739123.54444,1.76875060288195,67.325,17.7163034707673,9.0211680658731,3.735,160600000.0,800.0,7368604702.29224,28.0359023427962,26.4946929975271,13.5183157583994,60.763,27.8580007195296,12.95016947,87.3,-26641.0,3.92045567555494,Low,2000-2007,Americas_Low_
2009.0,Barbados,Americas,Latin America and the Caribbean,430.0,273791.0,636.723255813954,0.423113733464088,4465657300.0,-5.01774449150307,45.758,1.41188621885517,42.6577740302643,1.711,356008255.11,16160.0,4424126584.08826,45.7995287726176,15.4131845271692,-1.74203409431182,75.678,40.9346234427796,123.1084181,15.1,75.0,-0.176410045351384,High,2008-2014,Americas_High_
2019.0,Kyrgyz Republic,Asia,Central Asia,199949.0,6456200.0,33.6611053180396,2.08787614010317,8871019822.76098,4.60062566646762,38.365,11.6651082284086,35.2341542041409,3.3,403865100.0,1240.0,8005335033.94641,64.1389223468094,28.4895220130683,3.9493878905563,71.6,78.6268111148142,136.3543926,18.3,-34270.0,2.74593080864618,Medium,2015+,Asia_Medium_
2014.0,Malawi,Africa,Sub-Saharan Africa,118480.0,16477966.0,174.776898599915,2.78881323875244,8801326169.14547,5.62526999979218,133.683,23.8734416539637,43.58388892653333,4.612,598086538.121966,520.0,8619792673.6538,60.50436448918255,17.2649267145494,20.9692813073299,60.899,47.3905854622471,34.18209505,59.8,-10309.0,3.82312039135899,Low,2008-2014,Africa_Low_
2017.0,France,Europe,Western Europe,549087.0,66918020.0,122.211970625889,0.29020211635109,2595151045197.67,2.29141999417021,7.288,1.54241477388973,30.9486331871,1.89,35868111746.0373,38320.0,2564093695579.55,32.0132141063066,17.241152651745,0.521577263305687,82.5756097560976,44.4918996964221,107.5983841,4.3,13175.0,0.618752778579461,High,2015+,Europe_High_
2011.0,Belarus,Europe,Eastern Europe,207600.0,9461643.0,46.6297521068454,-0.234282914157686,61762340943.0511,5.37870744980968,22.39,8.00175755504565,78.4653615193087,1.515,4002400000.0,6340.0,60026829864.0809,79.5088935540041,36.0887890771209,71.0388216125359,70.5536585365854,138.493779047123,110.177396,5.2,7578.0,0.454360841936171,Medium,2008-2014,Europe_Medium_
2009.0,Samoa,Oceania,Polynesia,2840.0,193176.0,68.2600706713781,0.721630924369264,628006115.424052,-0.541677601834593,40.969,11.2374050203296,27.9967668033599,4.549,9868116.50800966,3140.0,605657016.248573,47.9826253582374,22.4714571910199,1.67772403527178,70.066,44.1078507353324,116.78343345673316,25.7,-3252.0,-0.374155723661575,Medium,2008-2014,Oceania_Medium_
