,corr_error_lr,corr_error_svr
MortRateU5,0.18292239740902916,0.24053933767786956
FertRate,0.06717610528933675,0.12620064182100924
AdolFertRate,0.11502848109519458,0.14771154613867632
AgriValAdd%GDP,-0.07399274150756455,-0.037457463460700065
GNI/CapAtlas,0.005149218006166889,-0.1500885615870946
MobileSubs/100,-0.03679926347970114,-0.12011400559223322
UrbanPopGrowth%,0.0219225437445784,-0.043342076653841724
PopGrowth%,0.02368582828124909,-0.06535259984246611
Exports%GDP,0.07644458348876794,-0.006557975511890753
FDINetBoP,-0.007543575297922937,-0.1007913332220697
GDP,0.019566986185532428,-0.09183438760752743
PopDens,-0.004557039649407335,-0.03492211098064745
