,corr_error_lr,corr_error_svr
MortRateU5,0.18292239740902932,0.24054032483282792
FertRate,0.06717610528933683,0.1262049840666131
AdolFertRate,0.11502848109519462,0.14771544318160376
AgriValAdd%GDP,-0.0739927415075645,-0.037455644192271896
GNI/CapAtlas,0.005149218006166821,-0.15009287019444412
MobileSubs/100,-0.036799263479700924,-0.12011883795454338
UrbanPopGrowth%,0.021922543744578617,-0.04334043227241035
PopGrowth%,0.02368582828124943,-0.06535249879711881
Exports%GDP,0.07644458348876815,-0.006559062651476266
FDINetBoP,-0.007543575297922562,-0.10078900770381038
GDP,0.019566986185532733,-0.09183388863266385
PopDens,-0.004557039649407351,-0.034922059569630286
